GLN;Adres;Postcode;Plaats;Land
9009852031041;Aalener Strasse 60A;73441;Bopfingen;Duitsland
9007019019178;Ab der Autobahn 5, Halle A;04435;Schkeuditz;Duitsland
9009852030433;Adenauerstrasse 8;52146;Wuerselen;Duitsland
9007019021119;Adlerstrasse 61 - 65;25462;Rellingen;Duitsland
9007019021607;Adlerstraße 61 - 65;25462;Rellingen;Duitsland
9007019021072;Aegidientorplatz 1;30159;Hannover;Duitsland
9007019021188;Aegidientorplatz 1;30159;Hannover;Duitsland
9007019022277;Aegidientorplatz 1;30159;Hannover;Duitsland
9007019005393;Aeppelallee 69;65203;Wiesbaden;Duitsland
9007019005416;Aeppelallee 69;65203;Wiesbaden;Duitsland
9007019012179;Ahornstrasse 1;19075;Pampow - Schwerin;Duitsland
9007019018935;Ahornstraße 1;19075;Pampow;Duitsland
9007019020617;Ahornstraße 1;19075;Pampow;Duitsland
9007019022321;Ahornstraße 1;19075;Pampow;Duitsland
9007019022352;Ahornstraße 1;19075;Pampow;Duitsland
9007019002682;Ailingerstrasse 111;88046;Friedrichshafen;Duitsland
9007019012162;Akeleiweg 11;17033;Neubrandenburg;Duitsland
9007019018461;Akeleiweg 11;17033;Neubrandenburg;Duitsland
9007019005539;Albert-Schaeffler-Strasse;74080;Heilbronn;Duitsland
9007019002880;Allmannsweilerstrasse 84;88046;Friedrichshafen/Bodensee;Duitsland
9007019019468;Am alten Galgen 21;56410;Montabaur;Duitsland
9007019019758;Am alten Galgen 21;56410;Montabaur;Duitsland
9007019019765;Am alten Galgen 21a;56410;Montabaur;Duitsland
9007019019499;Am Buchholz 6;97215;Uffenheim;Duitsland
9007019019741;Am Buchholz 6;97215;Uffenheim;Duitsland
9007019022406;Am Buchholz 6;97215;Uffenheim;Duitsland
9007019023601;Am Kirchenwald 1;56235;Ransbach-Baumbach;Duitsland
9007019012346;Am Wasserwerk 1;97437;Hassfurt;Duitsland
9009852030198;Am Wasserwerk 1;97437;Hassfurt;Duitsland
9007019016320;Am Wasserwerk 2a;97437;Hassfurt;Duitsland
9007019002507;Am Wasserwerk 4;97437;Hassfurt/Main;Duitsland
9009852030372;Am Weiweg 11;52146;Würselen;Duitsland
9007019020693;Amsterdamstraße 5;97424;Schweinfurt;Duitsland
9007019006734;Amsterdamstrasse 7;97421;Schweinfurt;Duitsland
9007019019413;An der Autobahn 5, Halle A;04435;Schkeuditz;Duitsland
9007019022253;An der B101 Nr. 2;14959;Trebbin;Duitsland
9007019022260;An der B101 Nr. 2;14959;Trebbin;Duitsland
9007019021133;An der Bundesstraße 2;31246;Gadenstedt;Duitsland
9007019019130;An der Wieslauf 75;73614;Schorndorf;Duitsland
9007019016184;Auf dem Berge 1;24568;Kaltenkirchen;Duitsland
9007019016344;Auf dem Berge 1;24568;Kaltenkirchen;Duitsland
9007019016474;Auf dem Berge 1;24568;Kaltenkirchen;Duitsland
9007019017211;Auf dem Berge 1;24568;Kaltenkirchen;Duitsland
9007019016009;Auf dem Berge 1A;24568;Kaltenkirchen;Duitsland
9007019002514;Augsfelder Strasse 2;97437;Hassfurt Am Main;Duitsland
9009852029208;August-Unterholzner-Straße 14;84524;Neuötting;Duitsland
9007019001333;August-Unterholznerstrasse 18;84524;Neuötting;Duitsland
9007019019192;Bahnhofstraße 10;87778;Stetten;Duitsland
9009852029260;Bahnhofstrasse 77;87435;Kempten;Duitsland
9007019021201;Berliner Straße 13;89250;Senden;Duitsland
9007019021942;Birkenweg 3;15834;Rangsdorf;Duitsland
9007019021959;Birkenweg 3;15834;Rangsdorf;Duitsland
9007019013619;Brandgehaege 6;38444;Wolfsburg;Duitsland
9007019013589;Brandgehaege 1;38444;Wolfsburg;Duitsland
9007019013572;Brandgehaege 6;38444;Wolfsburg;Duitsland
9007019013602;Brandgehäge 1;38444;Wolfsburg;Duitsland
9009852029512;Buehler Hoehe 6-10;57258;Freudenberg;Duitsland
9007019021652;Carl-Benz-Straße 22;78224;Singen;Duitsland
9009852030365;De-Gasperi-Straße 18;52146;Würselen;Duitsland
9007019019482;Delpstraße 10;97084;Würzburg;Duitsland
9009852029567;Delpstraße 10;97084;Würzburg;Duitsland
9007019002309;Delpstrasse 8;97084;Würzburg;Duitsland
9007019010670;Delpstrasse 8;97084;Würzburg;Duitsland
9007019002149;Denekamper Strasse 185;48529;Nordhorn;Duitsland
9007019013633;Dieselstraße 3-5;36041;Fulda/Rodges;Duitsland
9007019015484;Dreschflegel 2;24537;Neumünster;Duitsland
9009852029468;Droescheder Berg 2;58638;Iserlohn;Duitsland
9007019005263;Durlacher Allee 109;76137;Karlsruhe;Duitsland
9007019005287;Durlacher Allee 109;76137;Karlsruhe;Duitsland
9007019010342;Edisonstrasse 5;70734;Fellbach / Stuttgart;Duitsland
9007019006864;Eichendorffstrasse 40;85609;Aschheim;Duitsland
9007019018928;Eimterstraße 100;32049;Herford;Duitsland
9007019021126;Einsteinstrasse 6;63868;Grosswallstadt;Duitsland
9007019021485;Einsteinstraße 6;63868;Großwallstadt;Duitsland
9007019005225;Elly-Beinhorn-Str. 3;65760;Eschborn;Duitsland
9007019005249;Elly-Beinhorn-Str. 3;65760;Eschborn;Duitsland
9007019007656;Elly-Beinhorn-Str.3-7;65760;Eschborn;Duitsland
9007019006932;Elly-Beinhorn-Strasse 3-7;65760;Eschborn;Duitsland
9007019005034;Ernst Böhme Str. 22;38112;Braunschweig;Duitsland
9007019020624;Ernst-Böhme-Straße 22;38112;Braunschweig;Duitsland
9007019001579;Fatting 7;94113;Tiefenbach;Duitsland
9007019021164;Flensburger Straße 63;24837;Schleswig;Duitsland
9007019015477;Freesenburg 8;24537;Neumünster;Duitsland
9007019017310;Freesenburg 8;24537;Neumünster;Duitsland
9007019020990;Gärtnerstraße 133 - 137;25469;Halstenbek;Duitsland
9007019020679;Gaußstraße 1;84030;Landshut;Duitsland
9007019020655;Georg-Aicher-Straße 6-10;83026;Rosenheim;Duitsland
9007019021997;Geußnitzer Straße 101;06712;Zeitz;Duitsland
9007019005478;Gundelfinerstrasse 2;79108;Freiburg;Duitsland
9007019021225;Gutenbergstraße 13 - 15;38640;Goslar;Duitsland
9007019021614;Gutenbergstraße 13 - 15;38640;Goslar;Duitsland
9007019012148;Hagelkreuzstraße 103;46149;Oberhausen;Duitsland
9007019012094;Hans Böckler Strasse 80;45127;Essen;Duitsland
9007019021782;Hans Böckler Straße 80;45127;Essen;Duitsland
9009852029925;Hans-Böckler-Straße 80;45127;Essen;Duitsland
9009862029925;Hans-Böckler-Straße 80;45127;Essen;Duitsland
9009852031058;Hans-Urmiller-Ring 43;82515;Wolfratshausen;Duitsland
9007019020952;Heideland 7;24976;Handewitt;Duitsland
9007019021430;Heideland 7;24976;Handewitt;Duitsland
9007019013596;Heidelsteinstrasse 18;36043;Fulda;Duitsland
9007019013640;Heidelsteinstrasse 18;36043;Fulda;Duitsland
9007019019390;Heidfeld 9;48465;Schüttdorf;Duitsland
9007019018942;Heidfeld 9;48465;Schüttorf;Duitsland
9007019019772;Heiligenröder Straße 29;34123;Kassel;Duitsland
9007019011967;Heinkel-Strasse 3;71034;Boeblingen-Hulb;Duitsland
9007019021171;Heinrich-Hertz-Straße 13-15;24837;Schleswig;Duitsland
9007019021706;Heinrich-Hertz-Straße 17;77656;Offenburg;Duitsland
9007019006949;Heisenbergstrasse 8;85386;Eching-Ost;Duitsland
9007019016467;Henkel-Teroson-Strasse 24;69123;Heidelberg;Duitsland
9007019010250;Hermann-Mitsch-Strasse 15;79108;Freiburg;Duitsland
9007019021713;Hermann-Mitsch-Straße 37;79108;Freiburg;Duitsland
9009852029437;Herscheider Landstrasse 199;58515;Luedenscheid;Duitsland
9007019021737;Hohenzollernring 16-18;50672;Köln;Duitsland
9007019010021;Holsterfeld 35-37;48499;Salzbergen;Duitsland
9007019021980;Hommeswiese 13;57258;Freudenberg;Duitsland
9007019022246;Hoymer Chaussee 6;06449;Aschersleben;Duitsland
9007019019406;Im Gewerbepark 35, Halle B;16727;Oberkrämer;Duitsland
9007019019185;Im Gewerbepark 35, Halle B;16727;Oberkrämer;Duitsland
9007019012117;Im Grund 2;29525;Uelzen;Duitsland
9009852030327;Im Grund 2;29525;Uelzen;Duitsland
9007019020976;Im Schleeke 2;38640;Goslar;Duitsland
9007019021140;Immenberg 1;21465;Wentorf;Duitsland
9007019021775;Indusstriestraße 1;84177;Gottfrieding;Duitsland
9007019018423;Industriestraße 1;84177;Gottfrieding;Duitsland
9007019022345;Industriestraße 1;91463;Dietersheim;Duitsland
9007019012223;Industriestrasse 18;75217;Birkenfeld;Duitsland
9007019021157;Industriestraße 25;21493;Schwarzenbek;Duitsland
9007019021492;Industriestraße 25;21493;Schwarzenbek;Duitsland
9007019002231;Industriestrasse 5 A;96114;Hirschaid;Duitsland
9007019006819;Industriestrasser 5A;96114;Hirschaid;Duitsland
9007019003702;Ingolstädterstrasse 20-22;90461;Nürnberg;Duitsland
9007019013787;Josef-Dietzgen-Strasse 2;53773;Hennef/Sieg;Duitsland
9007019005546;Karl-Marx-Straße 49;74080;Heilbronn;Duitsland
9007019012216;Kieselbronner Straße 92;75177;Pforzheim;Duitsland
9009852029628;Kieselbronner Straße 92;75177;Pforzheim;Duitsland
9009852029499;Kreuztalerstrasse 2;57258;Freudenberg;Duitsland
9007019010366;Landwehr 15;97215;Uffenheim;Duitsland
9007019006963;Landwehrstr. 10;97215;Uffenheim;Duitsland
9007019010045;Landwehrstr. 15;97215;Uffenheim;Duitsland
9007019011639;Landwehrstrasse 10;97215;Uffenheim;Duitsland
9007019020600;Landwehrstraße 10;97215;Uffenheim;Duitsland
9007019020907;Landwehrstraße 10;97215;Uffenheim;Duitsland
9007019019475;Landwehrstraße 15;97215;Uffenheim;Duitsland
9007019020068;Landwehrstraße 15;97215;Uffenheim;Duitsland
9007019011547;Landwehrstrasse 15a;97215;Uffenheim;Duitsland
9007019011554;Landwehrstrasse 15a;97215;Uffenheim;Duitsland
9007019007748;Landwhestr. 10;97215;Uffenheim;Duitsland
9007019020969;Lerchenbreite 3;38889;Blankenburg;Duitsland
9007019021478;Liebigstraße 15;38640;Goslar;Duitsland
9007019019338;Lilienthalstr. 13;32052;Herford;Duitsland
9007019020280;Mariahilfer Straße 116;1070;Wien;Oostenrijk
9007019021683;Markwiesenstraße 37;72770;Reutlingen;Duitsland
9009852030082;Mergentheimer Str. 59;97084;Würzburg;Duitsland
9007019025216;Mergentheimer Strasse 59;97084;Wuerzburg;Duitsland
9007019002286;Mergentheimer Strasse 59;97084;Würzburg;Duitsland
9007019011882;Mergentheimer Strasse 59;97084;Würzburg;Duitsland
9007019019123;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019021232;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019022338;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019022369;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019022376;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019022383;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019002460;Mergentheimer Straße 59;97084;Würzburg;Duitsland
9007019017105;Mergentheimerstr. 59;97084;Würzburg;Duitsland
9007019016412;Mergentheimerstr. 59;97084;Würzburg;Duitsland
9007019010007;Mergentheimerstraße 59;97084;Würzburg;Duitsland
9007019021638;Molkereistraße 35A;30826;Garbsen;Duitsland
9007019005430;Monreposstr. 51;71634;Ludwigsburg;Duitsland
9007019020914;Münchner Straße 173;85757;Karlsfeld;Duitsland
9007019005522;Neckargartacherstr. 120;74080;Heilbronn;Duitsland
9007019007717;Otto Lilienthal Strasse 24;71034;Boeblingen;Duitsland
9007019007694;Otto-Lilienthal Str. 24;71034;Böblingen;Duitsland
9009852031034;Otto-Lilienthal-Strasse 14;71034;Boeblingen-Hulb;Duitsland
9007019007663;Otto-Lilienthal-Strasse 8-16;71034;Boeblingen;Duitsland
9007019003948;Peigertinger Strasse 9;94538;Fürstenstein;Duitsland
9007019016108;Posthausen 1;28869;Posthausen;Duitsland
9007019016481;Posthausen 1;28869;Posthausen;Duitsland
9007019016351;Posthausen 1;28870;Ottersberg;Duitsland
9007019003191;Robert Boschstr. 11;70734;Fellbach/Stuttgart;Duitsland
9007019021690;Robert-Bosch-Straße 12;78073;Bad Dürrheim;Duitsland
9007019021249;Robert-Hesse-Straße 3;30827;Garbsen;Duitsland
9007019026213;Robert-Hesse-Straße 3;30827;Garbsen;Duitsland
9007019021065;Robert-Hesse-Straße 3;30827;Garbsen / Hannover;Duitsland
9007019021454;Robert-Hesse-Straße 3;30827;Garbsen / Hannover;Duitsland
9007019021768;Robert-Hesse-Straße 3;30827;Garbsen / Hannover;Duitsland
9007019021102;Roemerstrasse 115;63785;Obernburg Am Main;Duitsland
9007019013312;Römerstr. 39;4600;Wels;Oostenrijk
9007019020921;Römerstraße 115;63785;Obernburg am Main;Duitsland
9007019021935;Römerstraße 115a;63785;Obernburg am Main;Duitsland
9007019019321;Rossweide 1;94431;Pilsting;Duitsland
9007019020686;Rossweide 1;94431;Pilsting;Duitsland
9007019019383;Rossweide 3;94331;Pilsting;Duitsland
9007019020051;Rossweide 3;94431;Pilsting;Duitsland
9007019017488;Rossweide 5;94431;Pilsting;Duitsland
9007019021669;Rudolf-Diesel-Straße 4;72250;Freudenstadt;Duitsland
9007019020938;Schäferweg 8;24941;Flensburg;Duitsland
9007019021621;Schleswiger Straße 103 - 105;24941;Flensburg;Duitsland
9007019021645;Schleswiger Straße 103 - 105;24941;Flensburg;Duitsland
9007019020662;Schönbachstraße 192;86154;Augsburg;Duitsland
