GLN;Adres;Postcode;Plaats;Land
4040051000013;Bakenweg 16 - 20;32457;Porta Westfalica;Duitsland
4040051000068;Bielitzer Straße;33699;Bielefeld;Duitsland
4040051010067;Bielitzer Straße;33699;Bielefeld;Duitsland
4040051000051;Borsigstraße 1;49134;Wallenhorst;Duitsland
4040051010050;Borsigstraße 1;49134;Wallenhorst;Duitsland
4040051000440;Feldstrasse 20;32457;Porta Westfalica;Duitsland
4040051000020;Feldstraße 20;32457;Porta Westfalica;Duitsland
4040051010029;Feldstraße 20;32457;Porta Westfalica;Duitsland
4040051000075;Friedrich-Ebert-Str. 101;33330;Gütersloh;Duitsland
4040051010074;Friedrich-Ebert-Str. 101;33330;Gütersloh;Duitsland
4040051000976;Halberstädter Straße 30;33106;Paderborn;Duitsland
4040051000082;Hansestraße 28;38112;Braunschweig;Duitsland
4040051010081;Hansestraße 28;38112;Braunschweig;Duitsland
4040051007593;Lüneburger Str. 3;30880;Laatzen;Duitsland
4040051017592;Lüneburger Str. 3;30880;Laatzen;Duitsland
4040051000105;Matthias-Claudius-Str. 16-20;21629;Neu Wulmstorf;Duitsland
4040051999997;Nammer Berg 29;32457;Porta Westfalica;Duitsland
4040051000488;Opelstrasse 9;30916;Isernhagen;Duitsland
4040051010487;Opelstrasse 9;30916;Isernhagen;Duitsland
