GLN;Adres;Postcode;Plaats;Land
4040051007043;Alexander-Bell-Str. 1-3;53332;Bornheim;Duitsland
4040051017042;Alexander-Bell-Str. 1-3;53332;Bornheim;Duitsland
4040051007036;Am Gut Wolf 2;52070;Aachen;Duitsland
4040051017035;Am Gut Wolf 2;52070;Aachen;Duitsland
4040051007074;Europaallee 1;50226;Frechen;Duitsland
4040051017073;Europaallee 1;50226;Frechen;Duitsland
4040051007005;Europaallee 115;50226;Frechen;Duitsland
4040051007067;Frankfurther Str. 50;51147;Köln-Porz/Lind;Duitsland
4040051017066;Frankfurther Str. 50;51147;Köln-Porz/Lind;Duitsland
4040051007050;Görlitzerstraße 1;56566;Neuwied;Duitsland
4040051017059;Görlitzerstraße 1;56566;Neuwied;Duitsland
4040051007548;Hansestr. 51-53;51149;Köln;Duitsland
4040051017547;Hansestr. 51-53;51149;Köln;Duitsland
4040051007524;Humboldstr. 2;50126;Bergheim;Duitsland
4040051017523;Humboldstr. 2;50126;Bergheim;Duitsland
4040051007210;Industriestr. 2;61118;Bad Vilbel;Duitsland
4040051017219;Industriestr. 2;61118;Bad Vilbel;Duitsland
4040051007203;Philipp-Reis-Str. 23-25;63477;Maintal-Dörnigheim;Duitsland
4040051017202;Philipp-Reis-Str. 23-25;63477;Maintal-Dörnigheim;Duitsland
