gln,adres,postcode,plaats,land
4306517005870,Aiterhofener Str. 220,94315,Straubing,Duitsland
4306517003029,Alleinsteiner Straße 29,77694,Kehl,Duitsland
4306517006327,Am Falbenholzweg 7,91126,Schwabach,Duitsland
4306517005191,Am Gallborn 5 /mainzer Str.,67547,Worms,Duitsland
4306517006129,Am Handelhof 9,97076,Würzburg-lengfeld,Duitsland
4306517005504,Am Holzbach 2+4,71686,Remseck 2 - Aldingen,Duitsland
4306517004811,Am Rapensweg 187,44581,Castrop-Rauxel,Duitsland
4306517005771,Am Schleifweg 5,55128,Mainz-Bretzenheim,Duitsland
4306517005658,Am Storrenacker 6,76139,Karlsruhe-hagsfeld,Duitsland
4306517005580,An Der Alten Ziegelei 33,48157,Münster,Duitsland
4306517005351,August-thyssen-str. 10,56070,Koblenz,Duitsland
4306517005795,Bahnhofstrasse 84,87435,Kempten,Duitsland
4306517006235,Behringstrasse,22763,Hamburg-othmarschen,Duitsland
4306517006341,Bei der Keulahütte 1,91126,Lüneburg,Duitsland
4306517006310,Blaubeurer Straße 50,89077,Ulm,Duitsland
4306517006082,Böblinger Strasse 140,71065,Sindelfingen,Duitsland
4306517005597,Bochumer Str. 229,44625,Herne,Duitsland
4306517005863,Bornumerstrasse 19,30449,Hannover-linden,Duitsland
4306517005672,Borsigstr. 20/22,44145,Dortmund,Duitsland
4306517006266,Brammenring 60,46047,Oberhausen,Duitsland
4306517005832,Brandgehäge 7,38444,Wolfsburg,Duitsland
4399901603936,Brückwiesenstr. 6,76889,Bad Bergzabern,Duitsland
4306517004880,Brunckstr. 22,67346,Speyer,Duitsland
4306517005511,Brüsseler Str. 1,07747,Jena-lobeda,Duitsland
4306517005740,Burghauser Str. 83-85,84503,Altötting,Duitsland
4306517005436,Carl-benz-str. 7 A,74889,Sinsheim,Duitsland
4306517005719,Casterfeldstrasse 40 - 44,68199,Mannheim-neckarau,Duitsland
4306517005788,Caubstrasse,45881,Gelsenkirchen,Duitsland
4306517006303,Dänischburger Landstrasse 83,23569,Lübeck,Duitsland
4306517006365,Delitzscher Str. 54,06112,Halle,Duitsland
4306517005498,Detmolderstr. 246,33605,Bielefeld,Duitsland
4306517006020,Dohnaer Strasse 182,01239,Dresden,Duitsland
4306517006013,Dornierstrasse 39,73730,Esslingen,Duitsland
4306517005405,Dübener Landstr. 7,04129,Leipzig,Duitsland
4306517006273,Duckwitzstraße 49,28199,Bremen,Duitsland
4306517006259,Dührener Straße 33,74889,Sinsheim,Duitsland
4306517006396,Düsseldorfer Straße 382,47055,Duisburg,Duitsland
4306517005733,Econova-allee 2,45356,Essen,Duitsland
4306517005801,Edewechter Landstrasse 149,26131,Oldenburg,Duitsland
4306517005252,Eppelheimer Str.80,69123,Heidelberg,Duitsland
4306517005450,Ernst-grote-str. 2,30916,Isernhagen/altwarmbüchen,Duitsland
4306517005559,Eulerstr. 2,79589,Binzen Bei Lörrach,Duitsland
4306517004859,Evener Strasse 37,31275,Lehrte,Duitsland
4306517005092,Evernerstraße 37,31275,Lehrte,Duitsland
4306517006150,Fabrikstrasse 2,38118,Braunschweig,Duitsland
4306517005368,Finninger Str. 47,89231,Neu-ulm,Duitsland
4306517005627,Frankfurter Chaussee 51,15370,Fredersdorf-vogelsdorf,Duitsland
4306517005603,Franz-haniel-str. 71,47443,Moers,Duitsland
4306517006051,Friedrich-bergiusstrasse 19,65203,Wiesbaden,Duitsland
4306517005665,Friedrichspark Nr. 1,14476,Potsdam-marquardt,Duitsland
4306517005160,Fritz-haber-str. 1,76185,Karlsruhe,Duitsland
4306517004835,Gartenfelderstraße 28,13599,Berlin,Duitsland
4306517006167,Gradestrasse 110,12347,Berlin-neukölln,Duitsland
4306517006099,Grossbeerenstrasse 133,12197,Berlin-mariendorf,Duitsland
4306517005412,Grünbergallee 279,12526,Berlin-bohnsdorf,Duitsland
4399901558359,Hafenstraße 6,76726,Germersheim,Duitsland
4306517005245,Hanauer Landstrasse 477,60386,Frankfurt,Duitsland
4306517006112,Hannoversche Strasse 111,49084,Osnabrück,Duitsland
4306517005481,Hans-böckler-str. 57,33334,Gütersloh,Duitsland
4306517006204,Hans-steinkohl-strasse,81249,Muenchen-freiham,Duitsland
4306517004767,Heideweg 1,29614,Soltau,Duitsland
4306517004996,Heideweg 1,29614,Soltau,Duitsland
4306517005184,Heilbronner Str. 26,74821,Mosbach,Duitsland
4306517005474,Heisenbergstr. 2,33104,Paderborn-schloßneuhaus,Duitsland
4306517005849,Heuweg,26389,Wilhelmshaven,Duitsland
4306517004507,Hindenburgstrasse 19,46395,Bocholt,Duitsland
4306517006242,Holsteiner Chaussee 49,22532,Hamburg,Duitsland
4306517005641,Hornbachstrasse,76879,Bornheim,Duitsland
4262367820004,Hornbachstraße 11,76879,Bornheim,Duitsland
4306517002084,Hornbachstraße 11,76879,Bornheim,Duitsland
4306517006501,Hornbachstraße 11,76879,Bornheim,Duitsland
4306517004552,Im Freihafen 7,47138,Duisburg,Duitsland
4306517006594,Im Justus 1,76829,Landau,Duitsland
4306517005344,Im Siebenborn 5-7,54294,Trier,Duitsland
4063427000004,In der Windblase 1,76879,Essingen,Duitsland
4063427000035,In der Windblase 1,76879,Essingen,Duitsland
4306517004576,In der Windblase 1,76879,Essingen,Duitsland
4306517004873,In der Windblase 2,76879,Essingen,Duitsland
4306517005443,Industriestr.19/rurbenden,52382,Niederzier/bei Düren,Duitsland
4399901140110,Industriestraße 15,76831,Billigheim,Duitsland
4399901633834,Industriestraße 20,67141,Neuhofen,Duitsland
4306517003036,Karl-Heinz-Kipp-Str. 23,55232,Alzey,Duitsland
4306517005313,Kinzigheimer Weg 132,63450,Hanau-grossauheim,Duitsland
4306518000058,Kirschgartenweg 1,67549,Worms,Duitsland
4306517005535,Künkelstr. 88,41063,Mönchengladbach,Duitsland
4306517003005,Kurfürstenstraße 9,76887,Bad Bergzabern,Duitsland
4306517005269,Kurt - Hebach - Str. 1,55252,Mainz - Kastel,Duitsland
4063427000042,Kurt Hebach Straße 1,55252,Mainz-Kastel,Duitsland
4331732002137,Lambsheimer Str. 1,67071,Ludwigshafen-oggers.,Duitsland
