GLN;Adres;Postcode;Plaats;Land
4040052005215;Alexander-Bell-Str. 4;53332;Bornheim;Duitsland
4040052015214;Alexander-Bell-Strasse 4;53332;Bornheim;Duitsland
4040052006205;Alleestr. 1;08525;Plauen;Duitsland
4040052016365;Alt-Mahlsdorf 80;12623;Berlin;Duitsland
4040052006366;Alt-Mahlsdorf 80;12623;Berlin;Duitsland
4040052015573;Alte Mainzer Strasse 125;55129;Mainz;Duitsland
4040052005574;Alte Mainzer Straße 125;55129;Mainz;Duitsland
4040052015085;Alter Flughafen 12;30179;Hannover;Duitsland
4040052006557;Altstadtstrasse 37;99817;Eisenach;Duitsland
4040052006212;Am Croestener Weg 23;07318;Saalfeld;Duitsland
4040052016211;Am Cröstener Weg 23;07318;Saalfeld;Duitsland
4040052005321;Am Gneisenauflöz 6;66538;Neunkirchen;Duitsland
4040052015320;Am Gneisenauflöz 6;66538;Neunkirchen;Duitsland
4040052005345;Am hohen Stein 1;56218;Muelheim-Kaerlich;Duitsland
4040052015344;Am hohen Stein 1;56218;Mülheim-Kärlich;Duitsland
4040052015290;Am Huxmuehlenbach 13;49084;Osnabrueck;Duitsland
4040052005291;Am Huxmuehlenbach 13;49084;Osnabrueck;Duitsland
4040052006489;Am Ring 4;23970;Wismar;Duitsland
4040052016488;Am Ring 4;23970;Wismar;Duitsland
4040052005437;Am Schuermannshuett 36;47441;Moers;Duitsland
4040052015436;Am Schürmannshütt 36;47441;Moers;Duitsland
4040052016532;Ammersche Landstrasse 22;99974;Muehlhausen;Duitsland
4040052074013;An der B 101 Nr. 2;14959;Trebbin;Duitsland
4040052005543;An der Ihle 7;27721;Ritterhude;Duitsland
4040052015542;An der Ihle 7;27721;Ritterhude;Duitsland
4040052016020;Auerswalder Str. 101;09114;Chemnitz;Duitsland
4040052006021;Auerswalder Straße 101;09114;Chemnitz;Duitsland
4040052015252;August-Borsig-Str. 15/17;68199;Mannheim;Duitsland
4040052016266;August-Sonntag-Strasse 10;14770;Brandenburg;Duitsland
4040052006267;August-Sonntag-Straße 10;14770;Brandenburg;Duitsland
4040052006052;Avenariusstr. 4;38820;Halberstadt;Duitsland
4040052016051;Avenariusstrasse 4;38820;Halberstadt;Duitsland
4040052015023;Badenstedter Str. 58A;30453;Hannover-Linden;Duitsland
4040052015276;Bakenweg 16-20;32457;Porta Westfalica;Duitsland
4040052016204;Bakenweg 16-20;32457;Porta Westfalica;Duitsland
4040052016556;Bakenweg 16-20;32457;Porta Westfalica;Duitsland
4040052016563;Bakenweg 16-20;32457;Porta Westfalica;Duitsland
4040052015016;Bakenweg 16-21;32458;Porta Westfalica;Duitsland
4040052005666;Barcelona Allee 10;55129;Mainz;Duitsland
4040052015665;Barcelona Allee 10;55129;Mainz;Duitsland
4040052015627;Bei der Keulahütte 4;21339;Lüneburg;Duitsland
4040052005628;Bei der Keulahütte 4;21339;Lüneburg;Duitsland
4040052016167;Bismarckstrasse 67;01257;Dresden;Duitsland
4040052006168;Bismarckstraße 67;01257;Dresden;Duitsland
4040052015511;Bornstrasse 195;44145;Dortmund;Duitsland
4040052005116;Charles-Lindbergh-Ring 30;32756;Detmold;Duitsland
4040052015115;Charles-Lindbergh-Ring 30;32756;Detmold;Duitsland
4040052005239;Dieselstr. 33;38446;Wolfsburg;Duitsland
4040052015238;Dieselstrasse 33;38446;Wolfsburg;Duitsland
4040052015375;Dortmunder Strasse 19;58453;Witten-Annen;Duitsland
4040052005468;Dr.-Tietz-Str. 2-4;66115;Saarbruecken;Duitsland
4040052015467;Dr.-Tietz-Strasse 2-4;66115;Saarbrücken;Duitsland
4040052005246;Dresdener Str. 17-19;52068;Aachen;Duitsland
4040052015245;Dresdener Strasse 15-17;52068;Aachen;Duitsland
4040052016549;Eggebrechtstrasse 1;04103;Leipzig;Duitsland
4040052006540;Eggebrechtstraße 1;04103;Leipzig;Duitsland
4040052015191;Erftstrasse 51;41238;Mönchengladbach;Duitsland
4040052015269;Europaallee 1A;50226;Frechen;Duitsland
4040052005260;Europaallee 1 a;50226;Frechen;Duitsland
4040052005475;Feldmuehlenstr. 21;58099;Hagen;Duitsland
4040052015474;Feldmühlenstrasse 21;58099;Hagen;Duitsland
4040052006502;Frankenfelder Chaussee 10;14943;Luckenwalde;Duitsland
4040052016501;Frankenfelder Chaussee 10;14943;Luckenwalde;Duitsland
4040052005222;Frankfurter Str. 50;51147;Koeln-Lind;Duitsland
4040052015221;Frankfurter Str. 50;51147;Köln-Lind;Duitsland
4040052006496;Franz-Mehring-Platz 1;10243;Berlin;Duitsland
4040052016525;Frauensteiner Strasse 55A;09599;Freiberg;Duitsland
4040052006526;Frauensteiner Straße 55a;09599;Freiberg;Duitsland
4040052006281;Friedensstr. 10;16515;Oranienburg;Duitsland
4040052016280;Friedensstrasse 10;16515;Oranienburg;Duitsland
4040052016174;Friedensstrasse 75;06766;Bobbau;Duitsland
4040052006175;Friedensstraße 75;06766;Bobbau;Duitsland
4040052015603;Friedrich-Ebert-Strasse 99;33332;Gütersloh;Duitsland
4040052005604;Friedrich-Ebert-Straße 99;33332;Gütersloh;Duitsland
4040052006243;Friedrichshagener Str. 38-42;12555;Berlin;Duitsland
4040052016242;Friedrichshagener Strasse 38-42;12555;Berlin;Duitsland
4040052015160;Gaussstrasse 10;32052;Herford;Duitsland
4040052005161;Gaußstraße 10;32052;Herford;Duitsland
4040052016082;Gewerbegebiet Vor dem Dorfe;99189;Elxleben;Duitsland
4040052019502;Gewerbegebiet Nunsdorf;15806;Zossen;Duitsland
4040052015153;Glöcknerpfad 33;34134;Kassel;Duitsland
4040052005154;Gloecknerpfad 35;34134;Kassel;Duitsland
4040052006144;Gompitzer Hoehe 7;01156;Gompitz;Duitsland
4040052016143;Gompitzer Höhe 7;01156;Dresden;Duitsland
4040052005703;Gottlieb-Keim-Str. 34;95448;Bayreuth;Duitsland
4040052016112;Halberstädter Chaussee;38855;Wernigerode;Duitsland
4040052006113;Halberstaedter Chaussee;38855;Wernigerode;Duitsland
4040052016136;Hallesche Strasse 143;99734;Nordhausen;Duitsland
4040052006137;Hallesche Straße 143;99734;Nordhausen;Duitsland
4040052016310;Handwerkstrasse 1A;18069;Rostock;Duitsland
4040052006311;Handwerkstraße 1a;18069;Rostock;Duitsland
4040052005109;Hastenbecker Weg 49;31785;Hameln;Duitsland
4040052015108;Hastenbecker Weg 49;31785;Hameln;Duitsland
4040052015207;Heessener Str. 146;59073;Hamm;Duitsland
4040052005208;Heessener Straße 146;59073;Hamm;Duitsland
4040052015337;Heidelberger Strasse 15-17;68519;Viernheim;Duitsland
4040052005338;Heidelberger-Str. 15-17;68519;Viernheim;Duitsland
4040052015610;Heinz-Kerneck-Strasse 3+5;28307;Bremen;Duitsland
4040052005314;Herbert-Quandt-Str. 4;31135;Hildesheim;Duitsland
4040052015313;Herbert-Quandt-Strasse 4;31135;Hildesheim;Duitsland
4040052075041;Herforder Str.269;33609;Bielefeld;Duitsland
4040052015047;Herforder Strasse 269;33609;Bielefeld;Duitsland
4040052015696;Hullerser Landstrasse 10;37574;Einbeck;Duitsland
4040052005697;Hullerser Landstraße 10;37574;Einbeck;Duitsland
4040052015634;Iggeheimer Strasse 28;67346;Speyer;Duitsland
4040052005635;Iggelheimer Str. 28;67346;Speyer;Duitsland
4040052015399;Im Mühlenwert 20;58135;Hagen;Duitsland
4040052005758;Industriestr. 8;91522;Ansbach;Duitsland
4040052015719;Industriestrasse 30;94469;Deggendorf;Duitsland
4040052015757;Industriestrasse 8;91522;Ansbach;Duitsland
4040052006441;Industriestrasse 14;98544;Zella-Mehlis;Duitsland
4040052016440;Industriestrasse 14;98544;Zella-Mehlis;Duitsland
4040052006533;Industriestrasse 19;99974;Mühlhausen;Duitsland
4040052005710;Industriestraße 30;94469;Deggendorf;Duitsland
4040052015580;Industriestrasse 4;32312;Lübbecke;Duitsland
4040052005031;Industriestrasse 57;67063;Ludwigshafen;Duitsland
4040052015030;Industriestrasse 57;67063;Ludwigshafen;Duitsland
4040052015412;John-F.-Kennedy Strasse 5B;55743;Idar-Oberstein;Duitsland
4040052005413;John-F.-Kennedy-Strasse 5b;55743;Idar-Oberstein;Duitsland
4040052005277;Kanalstraße 59-61;41748;Viersen;Duitsland
4040052006298;Karl-Liebknecht-Str. 24;02977;Hoyerswerda;Duitsland
